Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T502
Scope 1/1, Sample 1/3 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-15.2,20.3,NaN,,
0.0010,1,-16.8,20.3,0.0010,,
0.0025,2,-17.2,20.3,0.0015,,
0.0050,3,-17.6,20.3,0.0020,,
0.0090,4,-17.8,20.3,0.0035,,
0.0150,5,-18.0,20.3,0.0055,,
0.0235,6,-18.0,20.3,0.0075,,
0.0320,7,-17.9,20.3,0.0075,,
0.0405,8,-17.6,20.3,0.0075,,
0.0480,9,-17.1,20.3,0.0070,,
0.0565,10,-16.5,20.3,0.0075,,
0.0650,11,-15.8,20.3,0.0075,,
0.0735,12,-15.2,20.3,0.0075,,
0.0820,13,-14.5,20.3,0.0075,,
0.0905,14,-13.6,20.3,0.0070,,
0.0980,15,-12.7,20.3,0.0070,,
0.1065,16,-11.7,20.3,0.0075,,
0.1145,17,-10.4,20.3,0.0075,,
0.1230,18,-9.1,20.3,0.0075,,
0.1315,19,-7.7,20.3,0.0075,,
0.1400,20,-6.1,20.3,0.0070,,
0.1475,21,-4.6,20.3,0.0070,,
0.1560,22,-2.5,20.3,0.0075,,
0.1645,23,-0.2,20.3,0.0075,,
0.1730,24,1.0,20.3,0.0075,,
0.1810,25,2.8,20.3,0.0075,,
0.1895,26,4.5,20.3,0.0070,,
0.1970,27,6.1,20.3,0.0070,,
0.2055,28,7.9,20.3,0.0075,,
0.2140,29,9.4,20.3,0.0075,,
0.2225,30,10.2,20.3,0.0075,,
0.2310,31,10.9,20.3,0.0075,,
0.2395,32,11.7,20.3,0.0070,,
0.2470,33,12.5,20.3,0.0070,,
0.2555,34,13.0,20.3,0.0075,,
0.2635,35,13.4,20.3,0.0075,,
0.2720,36,13.8,20.3,0.0075,,
0.2805,37,15.1,20.3,0.0075,,
0.2890,38,15.4,20.3,0.0070,,
0.2965,39,15.7,20.3,0.0070,,
0.3050,40,16.5,20.3,0.0075,,
0.3135,41,17.0,20.3,0.0075,,
0.3220,42,18.3,20.3,0.0075,,
0.3300,43,18.8,20.3,0.0075,,
0.3385,44,19.2,20.3,0.0070,,
0.3460,45,19.6,20.3,0.0070,,
0.3545,46,20.2,20.3,0.0075,,
0.3630,47,22.3,20.3,0.0075,,
0.3715,48,23.6,20.3,0.0075,,
0.3800,49,25.9,20.3,0.0075,,
0.3885,50,26.4,20.3,0.0075,,
0.3960,51,27.0,20.3,0.0070,,
0.4040,52,26.9,20.3,0.0075,,
0.4125,53,26.8,20.3,0.0075,,
0.4210,54,26.8,20.3,0.0075,,
0.4295,55,27.1,20.3,0.0075,,
0.4380,56,27.5,20.3,0.0075,,
0.4455,57,27.8,20.3,0.0070,,
0.4540,58,28.1,20.3,0.0075,,
0.4625,59,28.8,20.3,0.0075,,
0.4710,60,29.3,20.3,0.0075,,
0.4790,61,29.9,20.3,0.0075,,
0.4875,62,30.4,20.3,0.0075,,
0.4950,63,30.8,20.3,0.0070,,
0.5035,64,31.7,20.3,0.0075,,
0.5120,65,31.9,20.3,0.0075,,
0.5205,66,33.1,20.3,0.0075,,
0.5290,67,33.7,20.3,0.0075,,
0.5375,68,34.9,20.3,0.0075,,
0.5450,69,35.6,20.3,0.0070,,
0.5535,70,37.0,20.3,0.0075,,
0.5620,71,37.4,20.3,0.0075,,
0.5700,72,37.6,20.3,0.0075,,
0.5785,73,37.6,20.3,0.0075,,
0.5870,74,37.8,20.3,0.0070,,
0.5945,75,38.1,20.3,0.0070,,
0.6030,76,38.5,20.3,0.0075,,
0.6115,77,38.9,20.3,0.0075,,
0.6200,78,39.4,20.3,0.0075,,
0.6285,79,39.9,20.3,0.0075,,
0.6365,80,40.3,20.3,0.0075,,
0.6445,81,40.8,20.3,0.0075,,
0.6525,82,41.3,20.3,0.0075,,
0.6610,83,42.1,20.3,0.0075,,
0.6695,84,42.7,20.3,0.0075,,
0.6780,85,43.4,20.3,0.0075,,
0.6865,86,44.0,20.3,0.0075,,
0.6940,87,44.7,20.3,0.0070,,
0.7025,88,46.0,20.3,0.0075,,
0.7110,89,46.4,20.3,0.0075,,
0.7190,90,47.2,20.3,0.0075,,
0.7275,91,48.5,20.3,0.0075,,
0.7360,92,48.7,20.3,0.0075,,
0.7435,93,49.0,20.3,0.0070,,
0.7520,94,49.7,20.3,0.0075,,
0.7605,95,50.3,20.3,0.0075,,
0.7690,96,51.2,20.3,0.0075,,
0.7775,97,52.0,20.3,0.0075,,
0.7855,98,52.6,20.3,0.0075,,
0.7935,99,53.4,20.3,0.0075,,
0.8015,100,53.9,20.3,0.0075,,
0.8100,101,54.6,20.3,0.0075,,
0.8185,102,56.6,20.3,0.0075,,
0.8270,103,57.0,20.3,0.0075,,
0.8355,104,57.2,20.3,0.0075,,
0.8430,105,57.9,20.3,0.0070,,
0.8515,106,58.7,20.3,0.0075,,
0.8600,107,59.8,20.3,0.0075,,
0.8680,108,61.1,20.3,0.0075,,
0.8765,109,61.4,20.3,0.0075,,
0.8850,110,62.4,20.3,0.0075,,
0.8925,111,62.9,20.3,0.0070,,
0.9010,112,63.8,20.3,0.0075,,
0.9095,113,64.5,20.3,0.0075,,
0.9180,114,65.3,20.3,0.0075,,
0.9265,115,66.1,20.3,0.0075,,
0.9350,116,67.0,20.3,0.0075,,
0.9425,117,67.9,20.3,0.0070,,
0.9510,118,69.2,20.3,0.0075,,
0.9590,119,70.0,20.3,0.0075,,
0.9675,120,70.8,20.3,0.0075,,
0.9760,121,72.4,20.3,0.0075,,
0.9835,122,73.4,20.3,0.0070,,
0.9920,123,74.5,20.3,0.0075,,
1.0005,124,75.8,20.3,0.0075,,
1.0090,125,77.2,20.3,0.0075,,
1.0175,126,78.8,20.3,0.0075,,
1.0260,127,80.7,20.3,0.0075,,
1.0335,128,81.6,20.3,0.0070,,
1.0420,129,82.6,20.3,0.0075,,
1.0500,130,83.9,20.3,0.0075,,
1.0585,131,85.7,20.3,0.0075,,
1.0670,132,87.0,20.3,0.0075,,
1.0755,133,88.6,20.3,0.0070,,
1.0830,134,90.3,20.3,0.0070,,
1.0915,135,92.2,20.3,0.0075,,
1.1000,136,94.2,20.3,0.0075,,
1.1085,137,96.6,20.3,0.0075,,
1.1165,138,98.6,20.3,0.0075,,
1.1250,139,101.1,20.3,0.0075,,
1.1325,140,103.4,20.3,0.0070,,
1.1410,141,106.1,20.3,0.0075,,
1.1495,142,109.0,20.3,0.0075,,
1.1580,143,112.4,20.3,0.0075,,
1.1665,144,115.4,20.3,0.0075,,
1.1750,145,118.6,20.3,0.0075,,
1.1825,146,122.1,20.3,0.0070,,
1.1910,147,125.8,20.3,0.0075,,
1.1990,148,129.6,20.3,0.0075,,
1.2075,149,133.3,20.3,0.0075,,
1.2160,150,136.8,20.3,0.0075,,
1.2245,151,140.8,20.3,0.0070,,
1.2320,152,144.1,20.3,0.0070,,
1.2405,153,147.6,20.3,0.0075,,
1.2490,154,151.1,20.3,0.0075,,
1.2575,155,154.5,20.3,0.0075,,
1.2655,156,157.5,20.3,0.0075,,
1.2740,157,160.6,20.3,0.0075,,
1.2815,158,163.3,20.3,0.0070,,
1.2900,159,166.1,20.3,0.0075,,
1.2985,160,168.7,20.3,0.0075,,
1.3070,161,171.1,20.3,0.0075,,
1.3155,162,173.4,20.3,0.0075,,
1.3240,163,175.5,20.3,0.0075,,
1.3315,164,177.7,20.3,0.0070,,
1.3400,165,179.8,20.3,0.0075,,
1.3480,166,181.7,20.3,0.0075,,
1.3565,167,183.5,20.3,0.0075,,
1.3670,168,185.2,20.3,0.0075,,
1.3670,408,193.7,20.3,0.0000,,
1.3675,410,193.7,20.3,0.0005,,
1.3690,410,193.7,20.3,0.0030,,
1.3715,412,193.8,20.3,0.0015,,
1.3755,413,194.0,20.3,0.0065,,
1.3815,414,194.4,20.3,0.0100,,
1.3900,415,194.9,20.3,0.0140,,
1.3985,416,195.6,20.3,0.0140,,
1.4060,416,196.3,20.3,0.0150,,
1.4145,418,197.1,20.3,0.0055,,
1.4230,419,197.8,20.3,0.0140,,
1.4310,420,198.8,20.3,0.0135,,
1.4395,421,199.7,20.3,0.0140,,
1.4480,422,200.4,20.3,0.0140,,
1.4555,422,201.0,20.3,0.0150,,
1.4640,424,201.7,20.3,0.0055,,
1.4725,425,202.5,20.3,0.0140,,
1.4810,426,203.2,20.4,0.0140,,
1.4895,427,203.9,20.3,0.0140,,
1.4975,428,204.5,20.4,0.0135,,
1.5055,428,205.1,20.3,0.0160,,
1.5135,430,205.8,20.3,0.0050,,
1.5220,431,206.5,20.3,0.0140,,
1.5305,432,207.1,20.3,0.0140,,
1.5390,433,207.7,20.3,0.0140,,
1.5475,434,208.3,20.3,0.0140,,
1.5560,434,208.8,20.4,0.0170,,
1.5635,436,209.5,20.4,0.0045,,
1.5720,437,210.0,20.4,0.0140,,
1.5800,438,210.6,20.4,0.0135,,
1.5885,439,211.1,20.4,0.0140,,
1.5970,440,211.6,20.3,0.0140,,
1.6045,440,212.0,20.3,0.0150,,
1.6130,442,212.5,20.4,0.0055,,
1.6215,443,213.0,20.3,0.0140,,
1.6300,444,213.6,20.4,0.0140,,
1.6385,445,214.1,20.3,0.0140,,
1.6470,446,214.5,20.3,0.0140,,
1.6545,446,214.9,20.4,0.0150,,
1.6630,448,215.4,20.4,0.0055,,
1.6710,449,215.8,20.4,0.0135,,
1.6795,450,216.3,20.3,0.0140,,
1.6880,451,216.7,20.3,0.0140,,
