"SampleID","TA","Mass"
"20180710_JUNK",2052.71196362889,60.1947
"20180710_CRM1",2225.10583525028,60.6675
"20180710_CRM2",2223.88375607436,59.3856
"20160314__Tank1",2715.86423095561,60.3463
"20160317__Header1",2727.49378688079,59.5903
"20160314__Tank4",2702.23845499924,58.7874
"20160314__Tank6",2583.42907960619,60.8088
"20160314__Tank6.2",2577.83792225186,60.0862
"20160317__Tank1",2724.60180518169,60.5281
"20160317__Tank2",2899.37712554393,59.766
"20160317__Tank2.2",2914.91886289592,60.9724
"20160317__Tank5",2746.82812342766,60.3306
"20160805_Bin1",2735.28361107259,61.0066
"20160805_Bin2",2728.72975035359,58.9833
"20160805_Bin3",2733.38118149339,60.4385
"20160805_Bin4",2724.33422850767,59.9791
"20160805_Bin5",2744.70191230562,60.3505
"20160805_Bin6",2731.0105695966,58.9892
"20160805_Bin7",2866.91127199737,59.112
"20160805_Bin8",2855.13590883692,59.0996
"20160805_Bin9",2823.75971863081,60.2721
"20180711_JUNK",2059.82219689633,59.1011
"20180711_CRM1",2232.90965443863,59.9702
"20180711_CRM2",2227.50373426538,60.9102
"20180711_JUNK",2063.65336408104,59.3809
"20180711_CRM1",2234.51611847373,59.2144
"20180711_CRM2",2231.2567152026,59.0141
"20160805_Bin10",2844.0382971168,60.1572
"20160805_Bin11",2838.86389243421,60.6508
"20160805_Bin12",2856.05060748819,59.3527
"20160815_Bin2",2716.70705937882,60.1129
"20160815_Bin3",2698.20140316661,60.3303
"20160815_Bin4",2727.54103236156,60.1078
"20160815_Bin5",2724.69179658017,59.6696
"20160815_Bin6",2718.82480326643,59.3226
"20160815_Bin7",2825.78624135438,60.5911
"20160815_Bin8",2832.56917845804,58.8013
"20160815_Bin9",2838.13842554888,60.5783
"20160815_Bin10",2838.42564533942,59.4664
"20160815_Bin11",2834.41923614552,59.2451
"20160815_Bin12",2821.09805134227,59.9586
"20160321_Tank1",2718.42613220099,60.3614
"20160321_Tank2",2929.30226647662,59.6642
"20160321_Tank3",2906.78932239225,59.3375
"20160321_Tank4",2712.03666648549,59.0579
"20180712_JUNK",2044.57345101937,60.1542
"20180712_CRM1",2230.02922017159,59.9695
"20180712_CRM2",2229.14217001016,59.6345
"20160321_Tank5",2713.03939887997,59.9394
"20160321_Tank6",2958.71156193972,59.9707
"20160320_Tank1",2682.3290711657,59.7065
"20160320_Tank2",2852.68628266569,60.4972
"20160320_Tank4",2680.46632667533,60.1986
"20160320_Tank3",2894.98816797392,60.6786
"20160320_Tank5",2686.90212455835,58.7344
"20160320_Tank6",2870.70683822464,60.988
"20160319_Tank1",2681.09915317677,60.5165
"20160319_Tank3",2755.42714940411,60.7676
"20160319_Tank4",2641.8207887979,60.5671
"20160319_Tank5",2631.23069395211,59.2912
"20160319_Tank6",2619.41233146122,60.7332
"20160317_Tank1",2737.32722366411,60.911
"20160317_Tank3",2911.10016437492,59.9791
"20160313_Header2",2587.22811370968,59.4716
"20160321_Header2",2891.87989015787,60.4381
"20160311_Header1",2728.63826222929,60.4433
"20160317_Tank4",2736.57342640223,60.1647
"20160317_Tank6",2803.50445574437,59.8785
"20160314_Tank1",2678.88173942007,61.0018
"20160314_Tank2",2479.33059210624,59.9961
"20160314_Tank3",2569.19100485993,60.99
"20160314_Tank4",2540.73106230553,60.9227
"20160314_Tank5",2715.16179824976,59.6788
"20160313_Tank1",2689.35820293066,60.1156
"20160313_Tank2",2555.58717241801,59.8439
